"cluster_set","featset","focgene","subtype","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H5N6",0.3,4,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,4,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,4,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,4,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,5,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,5,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,5,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,5,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,5,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,5,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,5,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,5,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,5,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,6,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,6,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,6,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,6,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,6,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,6,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,6,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,6,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",1,6,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H7N3",0.1,4,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,4,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,4,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,4,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,4,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,4,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",1,4,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",1,4,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",1,4,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,5,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,5,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,5,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,5,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,5,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,5,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",1,5,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",1,5,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",1,5,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,6,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,6,0,0.333333333333333,5,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.1,6,0,0.333333333333333,7,1,1000,0.0738505601667473,0,0.00123522587277976,0
"70_7","cds_compbias","HA","H7N3",0.3,6,0,0.333333333333333,3,1,1000,0.0738505601667473,0,0.00123522587277976,0
