"cluster_set","featset","focgene","subtype","sigma","C","Weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","prot_ctdd","M1","H9N2",0.1,1,3,0.945594760540319,0.647409887075534,0.00878797285167529,0.0396563938816465
"70_7","prot_ctdd","M1","H9N2",0.1,1,9,0.928407695456406,0.583358317664415,0.0112811848906574,0.0376742327553351
"70_7","prot_ctdd","M1","H9N2",0.1,3,3,0.945594760540319,0.647409887075534,0.00878797285167529,0.0396563938816465
"70_7","prot_ctdd","M1","H9N2",0.1,3,9,0.928407695456406,0.583358317664415,0.0112811848906574,0.0376742327553351
"70_7","prot_ctdd","M1","H9N2",0.1,9,3,0.946167826442898,0.647730184510605,0.00887799994702274,0.0395588025370793
"70_7","prot_ctdd","M1","H9N2",0.1,9,9,0.928980761358985,0.583199182143396,0.0115305493417955,0.0376505524682575
"70_7","prot_ctdt","M1","H10N8",0.001,1,3,0.951957724933945,0.589105498460632,0.00752894479701722,0.0502119885901621
"70_7","prot_ctdt","M1","H10N8",0.001,1,9,0.852088443888194,0.36900014313963,0.0652583374847651,0.0757167612028433
"70_7","prot_ctdt","M1","H10N8",0.001,3,3,0.956665832290363,0.609245009357008,0.00355631109579057,0.0424433265138013
"70_7","prot_ctdt","M1","H10N8",0.001,3,9,0.813959671811987,0.327749269232021,0.026008223235193,0.0298501806722945
"70_7","prot_ctdt","M1","H10N8",0.001,9,3,0.954785704352663,0.60214235754492,0.00818907232266216,0.0646925361796189
"70_7","prot_ctdt","M1","H10N8",0.001,9,9,0.825726602697817,0.348737577294429,0.0121944952347838,0.0209538411372663
"70_7","prot_ctdt","M1","H10N8",0.01,1,3,0.952896676401057,0.596462268620261,0.00686066504140478,0.05378438333464
"70_7","prot_ctdt","M1","H10N8",0.01,1,9,0.832801001251564,0.356906517753702,0.0129574776956291,0.0278453892239042
"70_7","prot_ctdt","M1","H10N8",0.01,3,3,0.951955499930469,0.603383800341854,0.00677176139039256,0.0649893076022971
"70_7","prot_ctdt","M1","H10N8",0.01,3,9,0.826174940898345,0.345658868059797,0.0134963671203828,0.024126656975065
"70_7","prot_ctdt","M1","H10N8",0.01,9,3,0.951482686691698,0.601143813096957,0.0079171592849778,0.0717345149889288
"70_7","prot_ctdt","M1","H10N8",0.01,9,9,0.826174940898345,0.347584712339948,0.0132896799535662,0.0279506726850674
"70_7","prot_ctdt","M1","H10N8",0.1,1,3,0.952423863162286,0.615839853891527,0.00538699602695099,0.0555860096430714
"70_7","prot_ctdt","M1","H10N8",0.1,1,9,0.825240439438187,0.357521010466755,0.0109699057375078,0.0164373924558631
"70_7","prot_ctdt","M1","H10N8",0.1,3,3,0.951009873452927,0.609318139449659,0.00735254599760675,0.0613175148014093
"70_7","prot_ctdt","M1","H10N8",0.1,3,9,0.830428035043805,0.354228483773803,0.00500417979400125,0.0096850485720295
"70_7","prot_ctdt","M1","H10N8",0.1,9,3,0.946297316089556,0.574899488126437,0.00460649040845232,0.0367798377842985
"70_7","prot_ctdt","M1","H10N8",0.1,9,9,0.83185092476707,0.345118081929425,0.0111914806493274,0.0195240805067166
"70_7","prot_ctdt","M1","H16N3",0.001,1,3,0.956979491625354,0.625805381499978,0.0069334238734887,0.0660035458134108
"70_7","prot_ctdt","M1","H16N3",0.001,1,9,0.836407232440155,0.340488551465866,0.06613453740617,0.0648930121522721
"70_7","prot_ctdt","M1","H16N3",0.001,3,3,0.957922887851769,0.628495177262213,0.00561770763013372,0.059942787199112
"70_7","prot_ctdt","M1","H16N3",0.001,3,9,0.820351739141372,0.341027379762031,0.0353631726603871,0.0405999933746435
"70_7","prot_ctdt","M1","H16N3",0.001,9,3,0.954613195180374,0.607247037726285,0.00715167776794366,0.0608887984307847
"70_7","prot_ctdt","M1","H16N3",0.001,9,9,0.819886768776231,0.343840617213839,0.0312148794003806,0.0487409536285205
"70_7","prot_ctdt","M1","H16N3",0.01,1,3,0.954139261531085,0.619615689071971,0.00614933149406741,0.0565178806451998
"70_7","prot_ctdt","M1","H16N3",0.01,1,9,0.82414656956724,0.352517589626235,0.0323347398300283,0.0430570071827436
"70_7","prot_ctdt","M1","H16N3",0.01,3,3,0.952724167191463,0.618938102915534,0.00598084095097037,0.05634466518625
"70_7","prot_ctdt","M1","H16N3",0.01,3,9,0.830755924064917,0.36411701212391,0.0228288386156512,0.0373186756959417
"70_7","prot_ctdt","M1","H16N3",0.01,9,3,0.95319586530467,0.621394839258268,0.00585036242425575,0.0571616735299085
"70_7","prot_ctdt","M1","H16N3",0.01,9,9,0.829806946925731,0.358500739500097,0.0236140042637026,0.0328453708045136
"70_7","prot_ctdt","M1","H16N3",0.1,1,3,0.953667568702833,0.62969333327768,0.00738291958238931,0.072559550984226
"70_7","prot_ctdt","M1","H16N3",0.1,1,9,0.828382905156827,0.36862770894084,0.0196364632518367,0.0317945143111231
"70_7","prot_ctdt","M1","H16N3",0.1,3,3,0.950360100997609,0.599740395353429,0.00725047160612835,0.0741095616462874
"70_7","prot_ctdt","M1","H16N3",0.1,3,9,0.832642700662881,0.360310481198415,0.0223011710729383,0.0451093469499822
"70_7","prot_ctdt","M1","H16N3",0.1,9,3,0.948938310619653,0.595502094141068,0.00908444763936868,0.0820998228938529
"70_7","prot_ctdt","M1","H16N3",0.1,9,9,0.835954639440268,0.35818459005309,0.0222325912450374,0.0400637601470748
"70_7","prot_ctdt","M1","H3N8",0.001,1,3,0.933946518077501,0.536882528369042,0.0203898435515047,0.105465090519983
"70_7","prot_ctdt","M1","H3N8",0.001,1,9,0.862378189960054,0.391861731136237,0.0612663564799896,0.0747903903872461
"70_7","prot_ctdt","M1","H3N8",0.001,3,3,0.955619163931506,0.629640104014753,0.00729636372995702,0.0849001243201411
"70_7","prot_ctdt","M1","H3N8",0.001,3,9,0.806349388087423,0.332799475018977,0.00566017767195575,0.0340873876935828
"70_7","prot_ctdt","M1","H3N8",0.001,9,3,0.953100272243849,0.613773473609879,0.0103374770162817,0.0974569185460028
"70_7","prot_ctdt","M1","H3N8",0.001,9,9,0.811394804467852,0.341195954671154,0.0117729550213686,0.0270848503331465
"70_7","prot_ctdt","M1","H3N8",0.01,1,3,0.952596493906318,0.615185739822221,0.00999115857160711,0.0976463817257429
"70_7","prot_ctdt","M1","H3N8",0.01,1,9,0.809889830292853,0.342638581845704,0.0287603795072105,0.0337619074579214
"70_7","prot_ctdt","M1","H3N8",0.01,3,3,0.952091443401267,0.633600471951525,0.0105542229183889,0.0949951149159759
"70_7","prot_ctdt","M1","H3N8",0.01,3,9,0.811408798310562,0.343160661958459,0.0284270534038673,0.0380980835301557
"70_7","prot_ctdt","M1","H3N8",0.01,9,3,0.952595221738799,0.638200219757896,0.0111987812713643,0.100433202213777
"70_7","prot_ctdt","M1","H3N8",0.01,9,9,0.818973106378648,0.352321382891834,0.0202953314478655,0.0335343970259843
"70_7","prot_ctdt","M1","H3N8",0.1,1,3,0.955114113426456,0.663637141936597,0.00919150892837031,0.0819512484067754
"70_7","prot_ctdt","M1","H3N8",0.1,1,9,0.823509655751469,0.375058154308145,0.0150822056156398,0.0177451690208713
"70_7","prot_ctdt","M1","H3N8",0.1,3,3,0.952092715568786,0.650115405104701,0.00976324711750671,0.0800081641519569
"70_7","prot_ctdt","M1","H3N8",0.1,3,9,0.830571457649543,0.385499020248073,0.0154191088127075,0.0186028529478199
"70_7","prot_ctdt","M1","H3N8",0.1,9,3,0.949568735211053,0.63501792941904,0.00715854213261429,0.0681076871819323
"70_7","prot_ctdt","M1","H3N8",0.1,9,9,0.834602956517314,0.380957084545568,0.0152707652739197,0.0220548398793589
"70_7","prot_ctdt","M1","H4N6",0.001,1,3,0.917920838449173,0.501570776114512,0.0134312013738208,0.0780637926834591
"70_7","prot_ctdt","M1","H4N6",0.001,1,9,0.889719377745149,0.440836421075102,0.0447071562996248,0.0824323050758956
"70_7","prot_ctdt","M1","H4N6",0.001,3,3,0.955186511904611,0.633180345996215,0.0110360479707038,0.102923164146585
"70_7","prot_ctdt","M1","H4N6",0.001,3,9,0.824276293305317,0.34249163004676,0.0451097673028922,0.0496413507806563
"70_7","prot_ctdt","M1","H4N6",0.001,9,3,0.952667620216954,0.627504179344704,0.00843678302803354,0.0900498547332612
"70_7","prot_ctdt","M1","H4N6",0.001,9,9,0.818234750579092,0.349291685920811,0.0656913884253889,0.0887305080643767
"70_7","prot_ctdt","M1","H4N6",0.01,1,3,0.950653772641545,0.623786949336175,0.0113531278151272,0.10105375152739
"70_7","prot_ctdt","M1","H4N6",0.01,1,9,0.817230991228181,0.356577599674458,0.0721280361830015,0.105762320694947
"70_7","prot_ctdt","M1","H4N6",0.01,3,3,0.951661329316608,0.640516430497939,0.0108940914266911,0.0831738480853804
"70_7","prot_ctdt","M1","H4N6",0.01,3,9,0.791048441198436,0.320608065885623,0.030898340478616,0.0365275810593312
"70_7","prot_ctdt","M1","H4N6",0.01,9,3,0.952667620216954,0.650163441789195,0.011738818887379,0.0879647635600527
"70_7","prot_ctdt","M1","H4N6",0.01,9,9,0.82127260990089,0.35414857036997,0.0510883140790891,0.0602987250455982
"70_7","prot_ctdt","M1","H4N6",0.1,1,3,0.953680239990886,0.665911130975368,0.0115981529013298,0.0857090234622716
"70_7","prot_ctdt","M1","H4N6",0.1,1,9,0.832850651241092,0.389497156111936,0.0505085076958014,0.0834955156756442
"70_7","prot_ctdt","M1","H4N6",0.1,3,3,0.949652544840069,0.650149589553048,0.0165903248151068,0.108058276759604
"70_7","prot_ctdt","M1","H4N6",0.1,3,9,0.820757439590902,0.366305254200815,0.0165579623763557,0.0374125118554293
"70_7","prot_ctdt","M1","H4N6",0.1,9,3,0.942617368960672,0.618061483214308,0.0236931449797703,0.122499836904031
"70_7","prot_ctdt","M1","H4N6",0.1,9,9,0.825286381529815,0.36373615784321,0.0133459215951456,0.0367351205510682
"70_7","prot_ctdt","M1","H4N8",0.001,1,3,0.9559902748367,0.615576082792036,0.00636035055194485,0.0555853992381062
"70_7","prot_ctdt","M1","H4N8",0.001,1,9,0.830996156991922,0.345232921623048,0.0783510674270214,0.090067927184488
"70_7","prot_ctdt","M1","H4N8",0.001,3,3,0.956935901314242,0.621391929436539,0.00675085504607138,0.0563260906961805
"70_7","prot_ctdt","M1","H4N8",0.001,3,9,0.818738865920473,0.348831775688776,0.0267138976159596,0.0408438679635224
"70_7","prot_ctdt","M1","H4N8",0.001,9,3,0.955989154426182,0.621789455546361,0.0054220350939584,0.0348206329298058
"70_7","prot_ctdt","M1","H4N8",0.001,9,9,0.815424691607005,0.344609356379503,0.0229115316295604,0.0366371392426789
"70_7","prot_ctdt","M1","H4N8",0.01,1,3,0.954569594299351,0.624045522756805,0.00610041355297115,0.0386071567388539
"70_7","prot_ctdt","M1","H4N8",0.01,1,9,0.818739986330992,0.351488119421305,0.0311011883830645,0.0475974110697346
"70_7","prot_ctdt","M1","H4N8",0.01,3,3,0.953622847411292,0.615867454846516,0.00636881884251865,0.0457369576334027
"70_7","prot_ctdt","M1","H4N8",0.01,3,9,0.823478202413364,0.353805492159737,0.0239982773958112,0.0385163856637713
"70_7","prot_ctdt","M1","H4N8",0.01,9,3,0.953622847411292,0.627168145299144,0.00542072278492262,0.0490497741064695
"70_7","prot_ctdt","M1","H4N8",0.01,9,9,0.826785654263722,0.358199503690093,0.0252849897018483,0.0461159867332219
"70_7","prot_ctdt","M1","H4N8",0.1,1,3,0.955512979955856,0.644107881271719,0.00755728875243681,0.0671254621996502
"70_7","prot_ctdt","M1","H4N8",0.1,1,9,0.83294006924137,0.380066692350858,0.0240635552546259,0.0385674431227817
"70_7","prot_ctdt","M1","H4N8",0.1,3,3,0.94841069767963,0.60626917120758,0.00812931569463225,0.0438014870081389
"70_7","prot_ctdt","M1","H4N8",0.1,3,9,0.833412882480141,0.380116141727279,0.0287868828280113,0.0473040541801393
"70_7","prot_ctdt","M1","H4N8",0.1,9,3,0.950301950634713,0.620634453180263,0.0112605490612006,0.0586692118397634
"70_7","prot_ctdt","M1","H4N8",0.1,9,9,0.83719987003238,0.378040152595134,0.0307497892512312,0.0578554065511031
"70_7","prot_ctdt","M1","H5N1",0.001,1,3,0.968922305764411,0.716477555713126,0.00285758251904545,0.0262518656644939
"70_7","prot_ctdt","M1","H5N1",0.001,1,9,0.846115288220551,0.391686049428426,0.0252872145476279,0.0497758846689976
"70_7","prot_ctdt","M1","H5N1",0.001,3,3,0.968922305764411,0.716477555713126,0.00285758251904545,0.0262518656644939
"70_7","prot_ctdt","M1","H5N1",0.001,3,9,0.843609022556391,0.388213638304674,0.022035192621888,0.0456498582095609
"70_7","prot_ctdt","M1","H5N1",0.001,9,3,0.968922305764411,0.716477555713126,0.00285758251904545,0.0262518656644939
"70_7","prot_ctdt","M1","H5N1",0.001,9,9,0.84812030075188,0.396426539298583,0.0205605456661591,0.0451739445350258
"70_7","prot_ctdt","M1","H5N1",0.01,1,3,0.968922305764411,0.716477555713126,0.00285758251904545,0.0262518656644939
"70_7","prot_ctdt","M1","H5N1",0.01,1,9,0.849624060150376,0.397407969371372,0.0212663693589939,0.0481965612633139
"70_7","prot_ctdt","M1","H5N1",0.01,3,3,0.968421052631579,0.713130371937907,0.00285758251904545,0.0244198257648802
"70_7","prot_ctdt","M1","H5N1",0.01,3,9,0.851127819548872,0.400108287943354,0.0203301251034318,0.0461700185928318
"70_7","prot_ctdt","M1","H5N1",0.01,9,3,0.967418546365915,0.703732739010862,0.00396275396011075,0.0383901225413298
"70_7","prot_ctdt","M1","H5N1",0.01,9,9,0.850125313283208,0.387578380297486,0.0213694974910197,0.0452839000890325
"70_7","prot_ctdt","M1","H5N1",0.1,1,3,0.967418546365915,0.703732739010862,0.00396275396011075,0.0383901225413298
"70_7","prot_ctdt","M1","H5N1",0.1,1,9,0.863659147869674,0.413454796119314,0.0222479609234808,0.0533555308696811
