"cluster_set","featset","focgene","subtype","min.node.size","splitrule","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"60_7","nuc_2mer","PB2","H7N9","25","gini",4,0.97354321200621,0.11617007167988,0.00589105259880582,0.118095903290389
"60_7","nuc_2mer","PB2","H7N9","45","gini",4,0.97119027082974,0.135455731278171,0.00790362824990852,0.148601756332083
"60_7","nuc_2mer","PB2","H8N4","5","gini",4,0.948002636783125,0.63612223260043,0.00768672127540534,0.0494859947634653
"60_7","nuc_2mer","PB2","H8N4","25","gini",4,0.933375814839229,0.581655878824559,0.00963062807686447,0.0399222938206016
"60_7","nuc_2mer","PB2","H8N4","45","gini",4,0.922544495715227,0.553820392586519,0.0118124504210555,0.0330927913707151
"60_7","nuc_2mer","PB2","H9N2","5","gini",4,0.955792803923125,0.730214235799135,0.0112447048470454,0.0738891491777064
"60_7","nuc_2mer","PB2","H9N2","25","gini",4,0.951170141848622,0.714888360414934,0.0109531516177353,0.0670229368759589
"60_7","nuc_2mer","PB2","H9N2","45","gini",4,0.95183456477401,0.717297620186268,0.0116955501727626,0.0744720902662617
"60_7","nuc_3mer","PB2","H10N8","5","gini",8,0.950138271888007,0.656148499089473,0.0115734569153383,0.086324344514203
"60_7","nuc_3mer","PB2","H10N8","25","gini",8,0.93820236195899,0.609767921378837,0.014952028268814,0.0915588628947201
"60_7","nuc_3mer","PB2","H10N8","45","gini",8,0.931157748416497,0.585260054475701,0.0136859874301345,0.0811107046255374
"60_7","nuc_3mer","PB2","H16N3","5","gini",8,0.944635777301974,0.605125566211389,0.011052605914602,0.118026075200836
"60_7","nuc_3mer","PB2","H16N3","25","gini",8,0.935406932673758,0.579129919678412,0.00766604970568039,0.0943331307426735
"60_7","nuc_3mer","PB2","H16N3","45","gini",8,0.924550606970943,0.543059832265364,0.0153279244792045,0.0868523935687824
"60_7","nuc_3mer","PB2","H3N8","5","gini",8,0.951801120267834,0.656056435042059,0.0136863520526838,0.117789950163027
"60_7","nuc_3mer","PB2","H3N8","25","gini",8,0.941018542364151,0.625181778353117,0.013305538458818,0.0952863132603674
"60_7","nuc_3mer","PB2","H3N8","45","gini",8,0.93306882565027,0.601376453694757,0.0146734311197997,0.0810561421134437
"60_7","nuc_3mer","PB2","H4N6","5","gini",8,0.945889384787571,0.639455214849329,0.00739616895879803,0.0560549655246882
"60_7","nuc_3mer","PB2","H4N6","25","gini",8,0.937739650244035,0.61722819701948,0.0107273980775073,0.0823024300543057
"60_7","nuc_3mer","PB2","H4N6","45","gini",8,0.92901868070643,0.590451343120633,0.00770348823254421,0.0720443892616361
"60_7","nuc_3mer","PB2","H4N8","5","gini",8,0.946849451339894,0.635690602680386,0.00762712502757637,0.0487445753286006
"60_7","nuc_3mer","PB2","H4N8","25","gini",8,0.936318484735635,0.600442024953708,0.006553633548442,0.0234599602163462
"60_7","nuc_3mer","PB2","H4N8","45","gini",8,0.929134642363396,0.58079277906371,0.00623406960410613,0.0232296862124527
"60_7","nuc_3mer","PB2","H5N1","5","gini",8,0.957796660131396,0.70727247129287,0.010954662007462,0.0786527413023353
"60_7","nuc_3mer","PB2","H5N1","25","gini",8,0.94507652688623,0.652388989041407,0.0162502516987048,0.0878803824347856
"60_7","nuc_3mer","PB2","H5N1","45","gini",8,0.932946127592531,0.611513012971998,0.0240459385719178,0.0797053555437894
"60_7","nuc_3mer","PB2","H5N6","5","gini",8,0.941063791874554,0.616523821786804,0.011067466215531,0.0589207115245406
"60_7","nuc_3mer","PB2","H5N6","25","gini",8,0.934515324305061,0.602546281646643,0.0100449087901971,0.0623960739647508
"60_7","nuc_3mer","PB2","H5N6","45","gini",8,0.926315633167023,0.5765796664359,0.00631813064564603,0.0421304701800625
"60_7","nuc_3mer","PB2","H7N3","5","gini",8,0.945966133881943,0.621751893520379,0.0216601832736055,0.19172869409929
"60_7","nuc_3mer","PB2","H7N3","25","gini",8,0.936961544548188,0.596250501663383,0.0255810778739593,0.202917640855777
"60_7","nuc_3mer","PB2","H7N3","45","gini",8,0.929639183415097,0.570639710793013,0.0231835514703483,0.178936781870925
"60_7","nuc_3mer","PB2","H7N4","5","gini",8,0.949283422459893,0.638718853706204,0.0113088948862768,0.0886587885284604
"60_7","nuc_3mer","PB2","H7N4","25","gini",8,0.937545811051693,0.597964996006314,0.0161330779457272,0.0876640376214179
"60_7","nuc_3mer","PB2","H7N4","45","gini",8,0.931676292335116,0.582174304353106,0.0206635233057675,0.104271291178494
"60_7","nuc_3mer","PB2","H7N7","5","gini",8,0.943825871098598,0.61751316669517,0.00723479638351707,0.0755901180977018
"60_7","nuc_3mer","PB2","H7N7","25","gini",8,0.937217328126419,0.606995239529177,0.00906129678743068,0.0637686787210845
"60_7","nuc_3mer","PB2","H7N7","45","gini",8,0.932261677716223,0.583764401511365,0.00889554562401813,0.0650242359662257
