"","cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","method"
"273","70_7","prot_2mer","PB1",0.022,0.817,0.58,0.802,0.832,0.769,0,0,0.931,0.926,0.785,0.564,0.972,0.564,0.926,0.701,0.231,0.214,0.38,0.855,"svm"
"274","70_7","prot_ctdc","PB1",0.038,0.887,0.663,0.874,0.898,0.769,0,0,0.686,0.678,0.949,0.801,0.907,0.801,0.678,0.734,0.231,0.157,0.196,0.814,"svm"
"275","70_7","prot_ctdd","PB1",0.029,0.846,0.606,0.831,0.859,0.769,0,0,0.917,0.811,0.856,0.629,0.938,0.629,0.811,0.709,0.231,0.188,0.298,0.833,"svm"
"276","70_7","prot_ctdt","PB1",0.038,0.9,0.692,0.888,0.911,0.769,0,0,0.667,0.663,0.971,0.872,0.905,0.872,0.663,0.754,0.231,0.154,0.176,0.817,"svm"
"277","70_7","prot_ctriad","PB1",0.026,0.859,0.644,0.845,0.872,0.769,0,0,0.944,0.858,0.86,0.648,0.952,0.648,0.858,0.738,0.231,0.199,0.306,0.859,"svm"
"278","70_7","prot_pseaac","PB1",0.026,0.709,0.337,0.691,0.726,0.769,1,0,0.719,0.707,0.71,0.423,0.889,0.423,0.707,0.529,0.231,0.164,0.387,0.708,"svm"
"279","70_7","cds_compbias","PB2",0.013,0.608,0.168,0.589,0.627,0.769,1,0,0.638,0.617,0.606,0.32,0.84,0.32,0.617,0.421,0.231,0.143,0.446,0.611,"svm"
"280","70_7","nuc_2mer","PB2",0.014,0.53,-0.02,0.511,0.549,0.769,1,0,0.514,0.406,0.568,0.221,0.76,0.221,0.406,0.286,0.231,0.094,0.426,0.487,"svm"
"281","70_7","nuc_3mer","PB2",0.018,0.575,0.059,0.556,0.594,0.769,1,0,0.529,0.468,0.607,0.264,0.791,0.264,0.468,0.337,0.231,0.108,0.41,0.537,"svm"
"282","70_7","nuc_4mer","PB2",0.021,0.744,0.248,0.727,0.761,0.769,0.999,0.004,0.513,0.385,0.852,0.44,0.822,0.44,0.385,0.411,0.231,0.089,0.203,0.619,"svm"
"283","70_7","nuc_5mer","PB2",0.016,0.707,0.303,0.689,0.724,0.769,1,0,0.705,0.626,0.731,0.413,0.867,0.413,0.626,0.497,0.231,0.145,0.351,0.679,"svm"
"284","70_7","nuc_6mer","PB2",0.031,0.796,0.216,0.78,0.811,0.769,0,0,0.234,0.175,0.983,0.755,0.798,0.755,0.175,0.284,0.231,0.04,0.054,0.579,"svm"
"285","70_7","prot_2mer","PB2",0.018,0.847,0.624,0.833,0.86,0.769,0,0,0.907,0.875,0.838,0.62,0.957,0.62,0.875,0.726,0.231,0.203,0.327,0.857,"svm"
"286","70_7","prot_ctdc","PB2",0.038,0.841,0.553,0.827,0.855,0.769,0,0.884,0.767,0.654,0.898,0.658,0.896,0.658,0.654,0.656,0.231,0.151,0.23,0.776,"svm"
"287","70_7","prot_ctdd","PB2",0.028,0.866,0.655,0.852,0.879,0.769,0,0,0.918,0.841,0.873,0.667,0.948,0.667,0.841,0.744,0.231,0.195,0.292,0.857,"svm"
"288","70_7","prot_ctdt","PB2",0.031,0.828,0.519,0.814,0.843,0.769,0,0.889,0.74,0.633,0.887,0.629,0.889,0.629,0.633,0.631,0.231,0.146,0.233,0.76,"svm"
"289","70_7","prot_ctriad","PB2",0.025,0.864,0.659,0.85,0.877,0.769,0,0,0.921,0.879,0.86,0.653,0.959,0.653,0.879,0.749,0.231,0.203,0.311,0.869,"svm"
