"cluster_set","featset","focgene","subtype","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","nuc_5mer","PB2","H4N6",0.5,0.1,0.798597521613103,0.337381675389864,0.0206735028672628,0.0431730120033958
"70_7","nuc_5mer","PB2","H4N6",0.5,1,0.75159677480602,0,0.37520928003397,0
"70_7","nuc_5mer","PB2","H4N6",0.5,10,0.75159677480602,0,0.37520928003397,0
"70_7","nuc_5mer","PB2","H4N6",1,0.001,0.941092110426186,0.645958116665641,0.00650967090805834,0.0521848260537409
"70_7","nuc_5mer","PB2","H4N6",1,0.01,0.895277394529322,0.508055000915094,0.020736999487824,0.0664826280364537
"70_7","nuc_5mer","PB2","H4N6",1,0.1,0.773408604736529,0.302731495458669,0.0226618371655964,0.0287374732865737
"70_7","nuc_5mer","PB2","H4N6",1,1,0.75159677480602,0,0.37520928003397,0
"70_7","nuc_5mer","PB2","H4N6",1,10,0.75159677480602,0,0.37520928003397,0
"70_7","nuc_5mer","PB2","H4N8",0,0.001,0.943213113284708,0.65638874561429,0.0150472026320836,0.0798100803997921
"70_7","nuc_5mer","PB2","H4N8",0,0.01,0.943213113284708,0.65638874561429,0.0150472026320836,0.0798100803997921
"70_7","nuc_5mer","PB2","H4N8",0,0.1,0.92096624203108,0.57668946794202,0.0163594074504663,0.0661531207822286
"70_7","nuc_5mer","PB2","H4N8",0,1,0.86323148801721,0.443052115954623,0.0157025004528016,0.043406377722757
"70_7","nuc_5mer","PB2","H4N8",0,10,0.800761879152522,0.334489707825681,0.0193537606251063,0.0355314457906378
"70_7","nuc_5mer","PB2","H4N8",0.5,0.001,0.952201046463424,0.676534924330493,0.00792196951223848,0.0494897491736094
"70_7","nuc_5mer","PB2","H4N8",0.5,0.01,0.925227163232608,0.587907715937933,0.0107802020145158,0.0490039338923198
"70_7","nuc_5mer","PB2","H4N8",0.5,0.1,0.814020817227432,0.346955240921771,0.0161033638083487,0.0372919022799603
