"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"NP","prot_ctdd",0.9,0.227,0.884,0.915,0.956,1,0,0.859,0.429,0.922,0.2,0.973,0.2,0.429,0.273,0.044,0.019,0.093,0.675
"NP","prot_ctdt",0.896,0.223,0.879,0.911,0.956,1,0,0.858,0.444,0.916,0.194,0.973,0.194,0.444,0.271,0.044,0.019,0.1,0.68
"NP","prot_ctriad",0.887,0.253,0.87,0.903,0.956,1,0,0.852,0.556,0.902,0.206,0.978,0.206,0.556,0.3,0.044,0.024,0.117,0.729
"NP","prot_pseaac",0.903,0.226,0.887,0.918,0.956,1,0,0.84,0.413,0.926,0.202,0.972,0.202,0.413,0.271,0.044,0.018,0.089,0.669
"NS1","cds_compbias",0.95,0.343,0.938,0.961,0.956,0.888,0.195,0.906,0.333,0.978,0.412,0.97,0.412,0.333,0.368,0.044,0.015,0.035,0.656
"NS1","nuc_2mer",0.943,0.298,0.93,0.955,0.956,0.992,0.74,0.849,0.317,0.972,0.339,0.969,0.339,0.317,0.328,0.044,0.014,0.041,0.645
"NS1","nuc_3mer",0.955,0.359,0.943,0.965,0.956,0.633,0.013,0.918,0.317,0.984,0.476,0.969,0.476,0.317,0.381,0.044,0.014,0.029,0.651
"NS1","nuc_4mer",0.957,0.452,0.945,0.967,0.956,0.482,0.374,0.928,0.444,0.98,0.509,0.975,0.509,0.444,0.475,0.044,0.019,0.038,0.712
"NS1","nuc_5mer",0.946,0.372,0.933,0.957,0.956,0.974,0.734,0.913,0.413,0.97,0.388,0.973,0.388,0.413,0.4,0.044,0.018,0.046,0.692
"NS1","nuc_6mer",0.943,0.398,0.929,0.954,0.956,0.994,0.048,0.919,0.492,0.963,0.378,0.977,0.378,0.492,0.428,0.044,0.021,0.057,0.728
"NS1","prot_2mer",0.934,0.374,0.92,0.946,0.956,1,0,0.891,0.524,0.952,0.333,0.978,0.333,0.524,0.407,0.044,0.023,0.068,0.738
"NS1","prot_ctdc",0.943,0.424,0.93,0.955,0.956,0.992,0.011,0.891,0.54,0.962,0.391,0.979,0.391,0.54,0.453,0.044,0.023,0.06,0.751
"NS1","prot_ctdd",0.949,0.437,0.936,0.96,0.956,0.928,0.201,0.912,0.508,0.969,0.427,0.977,0.427,0.508,0.464,0.044,0.022,0.052,0.738
"NS1","prot_ctdt",0.949,0.452,0.936,0.96,0.956,0.928,0.081,0.905,0.54,0.967,0.43,0.979,0.43,0.54,0.479,0.044,0.023,0.055,0.754
"NS1","prot_ctriad",0.937,0.41,0.923,0.949,0.956,1,0,0.893,0.571,0.954,0.36,0.98,0.36,0.571,0.442,0.044,0.025,0.069,0.763
"NS1","prot_pseaac",0.945,0.411,0.932,0.957,0.956,0.981,0.115,0.906,0.492,0.966,0.397,0.977,0.397,0.492,0.44,0.044,0.021,0.054,0.729
"PA","cds_compbias",0.945,0.26,0.932,0.957,0.956,0.981,0.115,0.883,0.254,0.977,0.333,0.966,0.333,0.254,0.288,0.044,0.011,0.033,0.615
"PA","nuc_2mer",0.937,0.227,0.923,0.949,0.956,1,0.834,0.84,0.254,0.968,0.267,0.966,0.267,0.254,0.26,0.044,0.011,0.041,0.611
"PA","nuc_3mer",0.951,0.259,0.939,0.961,0.956,0.863,0.002,0.902,0.222,0.984,0.389,0.965,0.389,0.222,0.283,0.044,0.01,0.025,0.603
"PA","nuc_4mer",0.947,0.254,0.934,0.958,0.956,0.966,0.04,0.903,0.238,0.979,0.341,0.966,0.341,0.238,0.28,0.044,0.01,0.03,0.609
