"focgene","featname","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD","fold"
"HA","prot_ctriad","gini","25",18,0.955032441842064,0.574854833161595,0.013631087099718,0.072728901818533,5
"HA","prot_ctriad","gini","45",18,0.953346257319196,0.567322799951235,0.0121463805044541,0.0637710492191721,5
"HA","prot_pseaac","gini","5",5,0.964881310333914,0.563936126563355,0.0109313277447819,0.141523868486639,1
"HA","prot_pseaac","gini","25",5,0.963474442158569,0.565919802386116,0.00963450480679141,0.114398431398795,1
"HA","prot_pseaac","gini","45",5,0.960103655641716,0.56428213848834,0.0112905413382064,0.107660950629198,1
"HA","prot_pseaac","gini","5",5,0.965724006963127,0.590274038588864,0.0105689655996208,0.100870085193294,2
"HA","prot_pseaac","gini","25",5,0.963474442158569,0.589288414939677,0.00916823602980221,0.0842708113182603,2
"HA","prot_pseaac","gini","45",5,0.960103655641716,0.569043906765778,0.00834345607538365,0.0833316973896918,2
"HA","prot_pseaac","gini","5",5,0.966550087039089,0.561084244612795,0.00993355758386333,0.162038841502702,3
"HA","prot_pseaac","gini","25",5,0.965422535211268,0.564231262743397,0.00857755264669891,0.130027796098117,3
"HA","prot_pseaac","gini","45",5,0.959236429814844,0.523636077530952,0.00829160990494701,0.119117001561019,3
"HA","prot_pseaac","gini","5",5,0.966845228675423,0.590776991655961,0.0106573594191816,0.104170915535814,4
"HA","prot_pseaac","gini","25",5,0.961787466371261,0.560744379476794,0.0106904592990184,0.0864117859246929,4
"HA","prot_pseaac","gini","45",5,0.957570818167432,0.542666408219528,0.0118837908045082,0.0845981755605963,4
"HA","prot_pseaac","gini","5",5,0.967116632378541,0.595789629427103,0.00649391325750199,0.0765436558119217,5
"HA","prot_pseaac","gini","25",5,0.964870232631746,0.592866858676948,0.00751171861337673,0.0742856746931072,5
"HA","prot_pseaac","gini","45",5,0.961780344991296,0.575976341267157,0.00936911881598083,0.0771237096059826,5
"M1","cds_compbias","gini","5",12,0.963193543282165,0.558303867759769,0.0108699244815746,0.110839058549171,1
"M1","cds_compbias","gini","25",12,0.961506567494857,0.549385481790069,0.0101732948413339,0.103442457416689,1
"M1","cds_compbias","gini","45",12,0.957852508308277,0.535033354342979,0.0102609064980177,0.0997983088601386,1
"M1","cds_compbias","gini","5",12,0.962913435670201,0.57022972470663,0.0104860734220642,0.11318822671671,2
"M1","cds_compbias","gini","25",12,0.959260167748061,0.551738799187402,0.0122201598936763,0.123051542777722,2
"M1","cds_compbias","gini","45",12,0.957854882101598,0.54672098979315,0.0127648452507784,0.122073162575524,2
"M1","cds_compbias","gini","5",12,0.958958695996202,0.510113098608841,0.00974298628470977,0.120535752455931,3
"M1","cds_compbias","gini","25",12,0.955021364139896,0.488866780247185,0.00736283757503421,0.0989090093327505,3
"M1","cds_compbias","gini","45",12,0.952769425542016,0.502101201000671,0.0100781829039105,0.0872087456033699,3
"M1","cds_compbias","gini","5",12,0.955883842380123,0.490975832889302,0.00728027520171906,0.0812390411954471,4
"M1","cds_compbias","gini","25",12,0.951949675581579,0.482259269500578,0.00854908180474498,0.0698586394319794,4
"M1","cds_compbias","gini","45",12,0.953636651368887,0.501219566706631,0.00911516655286953,0.0727091615063443,4
"M1","cds_compbias","gini","5",12,0.956156828612122,0.499778793135762,0.00947319278485953,0.0917574336208622,5
"M1","cds_compbias","gini","25",12,0.952501186896661,0.486199852229305,0.0093148539952284,0.0800957163098489,5
"M1","cds_compbias","gini","45",12,0.954467479031492,0.500567216515267,0.00990041993719389,0.0895775922695637,5
"M1","nuc_2mer","gini","5",4,0.964317930052223,0.550948514559857,0.0103399195410621,0.125512583876285,1
"M1","nuc_2mer","gini","25",4,0.959262541541383,0.530226109087874,0.0128458722622269,0.132449443533698,1
"M1","nuc_2mer","gini","45",4,0.952520968507675,0.507046317755649,0.0140293301187985,0.109921989519011,1
