"cluster_set","featset","focgene","subtype","accuracy"
"60_6","prot_2mer","M1","H7N4",0
"60_6","prot_2mer","M1","H7N7",0
"60_6","prot_2mer","M1","H7N9",1
"60_6","prot_2mer","M1","H8N4",0.940789473684211
"60_6","prot_2mer","M1","H9N2",0.923076923076923
"60_6","prot_ctdc","M1","H10N8",1
"60_6","prot_ctdc","M1","H16N3",0.988679245283019
"60_6","prot_ctdc","M1","H3N8",1
"60_6","prot_ctdc","M1","H4N6",0.952040085898354
"60_6","prot_ctdc","M1","H4N8",0.983193277310924
"60_6","prot_ctdc","M1","H5N1",1
"60_6","prot_ctdc","M1","H5N6",0.833333333333333
"60_6","prot_ctdc","M1","H7N3",0
"60_6","prot_ctdc","M1","H7N4",0
"60_6","prot_ctdc","M1","H7N7",0
"60_6","prot_ctdc","M1","H7N9",1
"60_6","prot_ctdc","M1","H8N4",0.947368421052632
"60_6","prot_ctdc","M1","H9N2",0.769230769230769
"60_6","prot_ctdd","M1","H10N8",1
"60_6","prot_ctdd","M1","H16N3",0.973584905660377
"60_6","prot_ctdd","M1","H3N8",1
"60_6","prot_ctdd","M1","H4N6",0.96420901932713
"60_6","prot_ctdd","M1","H4N8",0.987394957983193
"60_6","prot_ctdd","M1","H5N1",0.218978102189781
"60_6","prot_ctdd","M1","H5N6",0.833333333333333
"60_6","prot_ctdd","M1","H7N3",0
"60_6","prot_ctdd","M1","H7N4",0
"60_6","prot_ctdd","M1","H7N7",0
"60_6","prot_ctdd","M1","H7N9",1
"60_6","prot_ctdd","M1","H8N4",0.921052631578947
"60_6","prot_ctdd","M1","H9N2",1
"60_6","prot_ctdt","M1","H10N8",1
"60_6","prot_ctdt","M1","H16N3",0.875471698113208
"60_6","prot_ctdt","M1","H3N8",1
"60_6","prot_ctdt","M1","H4N6",0.952040085898354
"60_6","prot_ctdt","M1","H4N8",0.991596638655462
"60_6","prot_ctdt","M1","H5N1",0.547445255474453
"60_6","prot_ctdt","M1","H5N6",0.75
"60_6","prot_ctdt","M1","H7N3",0
"60_6","prot_ctdt","M1","H7N4",0
"60_6","prot_ctdt","M1","H7N7",0
"60_6","prot_ctdt","M1","H7N9",0.993303571428571
"60_6","prot_ctdt","M1","H8N4",0.934210526315789
"60_6","prot_ctdt","M1","H9N2",0.769230769230769
"60_6","prot_ctriad","M1","H10N8",1
"60_6","prot_ctriad","M1","H16N3",0.973584905660377
"60_6","prot_ctriad","M1","H3N8",1
"60_6","prot_ctriad","M1","H4N6",0.951324266284896
"60_6","prot_ctriad","M1","H4N8",0.957983193277311
"60_6","prot_ctriad","M1","H5N1",0.0656934306569343
"60_6","prot_ctriad","M1","H5N6",0.833333333333333
"60_6","prot_ctriad","M1","H7N3",0
"60_6","prot_ctriad","M1","H7N4",0
"60_6","prot_ctriad","M1","H7N7",0
"60_6","prot_ctriad","M1","H7N9",1
"60_6","prot_ctriad","M1","H8N4",1
"60_6","prot_ctriad","M1","H9N2",0.923076923076923
"60_6","prot_pseaac","M1","H10N8",1
"60_6","prot_pseaac","M1","H16N3",0.984905660377358
"60_6","prot_pseaac","M1","H3N8",1
"60_6","prot_pseaac","M1","H4N6",0.947745168217609
"60_6","prot_pseaac","M1","H4N8",0.983193277310924
"60_6","prot_pseaac","M1","H5N1",0.635036496350365
"60_6","prot_pseaac","M1","H5N6",0.833333333333333
"60_6","prot_pseaac","M1","H7N3",0
"60_6","prot_pseaac","M1","H7N4",0
"60_6","prot_pseaac","M1","H7N7",0
"60_6","prot_pseaac","M1","H7N9",0.993303571428571
"60_6","prot_pseaac","M1","H8N4",1
"60_6","prot_pseaac","M1","H9N2",1
"60_6","cds_compbias","NA","H10N8",0
"60_6","cds_compbias","NA","H16N3",0.00754716981132075
"60_6","cds_compbias","NA","H3N8",0
"60_6","cds_compbias","NA","H4N6",0.95848246241947
"60_6","cds_compbias","NA","H4N8",0.936974789915966
"60_6","cds_compbias","NA","H5N1",0
"60_6","cds_compbias","NA","H5N6",0
"60_6","cds_compbias","NA","H7N3",0
"60_6","cds_compbias","NA","H7N4",0
"60_6","cds_compbias","NA","H7N7",0
"60_6","cds_compbias","NA","H7N9",1
"60_6","cds_compbias","NA","H8N4",0.861842105263158
"60_6","cds_compbias","NA","H9N2",0.230769230769231
"60_6","nuc_2mer","NA","H10N8",0
"60_6","nuc_2mer","NA","H16N3",0
