"","param","s1","subtype"
"210","xgb_nuc_4mer_M1",-0.11626443486865,"H9N2"
"211","xgb_nuc_5mer_NA",0.796901745799029,"H9N2"
"212","xgb_nuc_5mer_NP",-0.451629210560771,"H9N2"
"213","xgb_nuc_6mer_NA",-0.19723964470773,"H9N2"
"214","xgb_nuc_6mer_PA",0.960282004216776,"H9N2"
"215","xgb_nuc_6mer_PB2",-0.628507222170438,"H9N2"
"216","xgb_prot_2mer_HA",-0.456975316698057,"H9N2"
"217","xgb_prot_ctdd_PB2",-0.0745047571539513,"H9N2"
"218","xgb_prot_pseaac_PA",0.29039372115534,"H9N2"
"219","xgb_prot_pseaac_PB2",-0.0857151952762663,"H9N2"
"220","svmlin_cds_compbias_HA",-0.696360450409013,"H9N2"
"221","svmlin_nuc_4mer_NP",-0.185695901997677,"H9N2"
"222","svmlin_prot_ctdc_HA",-0.0751588300074959,"H9N2"
"223","svmlin_prot_ctdc_M1",-0.12998265886639,"H9N2"
"224","svmlin_prot_ctdt_HA",0.511624700610995,"H9N2"
"225","svmlin_prot_ctdt_NP",0.43616557290458,"H9N2"
"226","svmlin_prot_pseaac_M1",-0.8807190868527,"H9N2"
"227","svm_prot_2mer_NA",0.220256706158264,"H9N2"
"228","svm_prot_pseaac_NA",0.609018286074984,"H9N2"
"229","lambda",0.001,"H9N2"
