"cluster_set","featset","focgene","subtype","cost","weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","prot_pseaac","PA","H7N7",10,0.166666666666667,0.919942011170945,0.558077776083976,0.0121107512200386,0.0377784389777813
"70_7","prot_pseaac","PA","H7N7",10,0.333333333333333,0.950257006471209,0.625025447043074,0.00935284401669905,0.0736591305686391
"70_7","prot_pseaac","PA","H7N9",0.001,0.111111111111111,0.976154967122554,0,0.0011155160237243,0
"70_7","prot_pseaac","PA","H7N9",0.001,0.166666666666667,0.976154967122554,0,0.0011155160237243,0
"70_7","prot_pseaac","PA","H7N9",0.001,0.333333333333333,0.976154967122554,0,0.0011155160237243,0
"70_7","prot_pseaac","PA","H7N9",0.1,0.111111111111111,0.948143358428935,0.233330934543799,0.0101378049336846,0.076540255762225
"70_7","prot_pseaac","PA","H7N9",0.1,0.166666666666667,0.970456803241476,0.262677023752304,0.00428030592167047,0.0962972232344407
"70_7","prot_pseaac","PA","H7N9",0.1,0.333333333333333,0.976154967122554,0,0.0011155160237243,0
"70_7","prot_pseaac","PA","H7N9",1,0.111111111111111,0.94971657601613,0.233002639698957,0.00535265333834275,0.0468866542970026
"70_7","prot_pseaac","PA","H7N9",1,0.166666666666667,0.960081982790743,0.244698010975143,0.00297232391122694,0.0690572306261386
"70_7","prot_pseaac","PA","H7N9",1,0.333333333333333,0.976154967122554,0,0.0011155160237243,0
"70_7","prot_pseaac","PA","H7N9",10,0.111111111111111,0.95179046763575,0.242203147988939,0.00648500968301665,0.0482214411849623
"70_7","prot_pseaac","PA","H7N9",10,0.166666666666667,0.960604154919133,0.258117453473282,0.00210280348530716,0.0658845929034791
"70_7","prot_pseaac","PA","H7N9",10,0.333333333333333,0.975116006083593,-0.00171469397475628,0.00232914751518552,0.00383417228816435
"70_7","prot_pseaac","PA","H8N4",0.001,0.111111111111111,0.908063068878026,0.440568424325738,0.00685534624429497,0.0477310632724008
"70_7","prot_pseaac","PA","H8N4",0.001,0.166666666666667,0.908063068878026,0.440568424325738,0.00685534624429497,0.0477310632724008
"70_7","prot_pseaac","PA","H8N4",0.001,0.333333333333333,0.908063068878026,0.440568424325738,0.00685534624429497,0.0477310632724008
"70_7","prot_pseaac","PA","H8N4",0.1,0.111111111111111,0.877896539962164,0.446280048867766,0.0286831924309945,0.0685503534090006
"70_7","prot_pseaac","PA","H8N4",0.1,0.166666666666667,0.916552556523747,0.5332668910233,0.011228651227461,0.040114950269794
"70_7","prot_pseaac","PA","H8N4",0.1,0.333333333333333,0.951898890909234,0.609728386369191,0.0142379850244685,0.111788398397176
"70_7","prot_pseaac","PA","H8N4",1,0.111111111111111,0.892036395074556,0.474084120233102,0.0141247107849429,0.0367977406791512
"70_7","prot_pseaac","PA","H8N4",1,0.166666666666667,0.917964331724929,0.539065687052569,0.0136864651149931,0.0516769719622378
"70_7","prot_pseaac","PA","H8N4",1,0.333333333333333,0.95332177538485,0.631126214750865,0.0134890020329105,0.09367725266975
"70_7","prot_pseaac","PA","H8N4",10,0.111111111111111,0.896278353707333,0.48578289074544,0.0139999242111551,0.0383178964009172
"70_7","prot_pseaac","PA","H8N4",10,0.166666666666667,0.917965441602842,0.538862120791552,0.0140767727208519,0.0563749730202478
"70_7","prot_pseaac","PA","H8N4",10,0.333333333333333,0.950016532720408,0.596812506629521,0.0117511557173405,0.101242689363095
"70_7","prot_pseaac","PA","H9N2",0.001,0.111111111111111,0.919240278346296,0.508513471358914,0.017377891123556,0.108244722816958
"70_7","prot_pseaac","PA","H9N2",0.001,0.166666666666667,0.924967662709783,0.526031668134831,0.0209142301110438,0.12233822329026
